model,fold,feature,importance
Logistic_regression,3,bol_pct_from_top_std,0.20535923779924672
Logistic_regression,3,bol_range_std,-0.3027412279814235
Logistic_regression,3,bol_range_pct_std,0.5488216796999229
Logistic_regression,3,lower_bollinger_band_std,-1.724252471721429
Logistic_regression,3,upper_bollinger_band_std,1.8151414830799335
Logistic_regression,3,ind_AAPL,0.45576180131914856
Logistic_regression,3,ind_XLE,-0.24079863350833833
Logistic_regression,3,ind_XLF,-0.030785536245745197
Logistic_regression,4,above_7_close_sma_ind,0.12331031756157304
Logistic_regression,4,above_14_close_sma_ind,-0.07145258834738608
Logistic_regression,4,above_21_close_sma_ind,-0.18607403075137666
Logistic_regression,4,cum_days_above_above_7_close_sma_ind,-0.023669345844476
Logistic_regression,4,cum_days_above_above_14_close_sma_ind,0.030505642814746686
Logistic_regression,4,cum_days_above_above_21_close_sma_ind,-0.02304158185160582
Logistic_regression,4,14_close_sma_std,-0.3450913001417134
Logistic_regression,4,14_close_sma_pct_diff_std,-0.4988506951265673
Logistic_regression,4,14_close_std_std,-0.038896993356572034
Logistic_regression,4,21_close_sma_std,0.20785700769016352
Logistic_regression,4,21_close_sma_pct_diff_std,0.23293915633574722
Logistic_regression,4,21_close_std_std,-0.37506854999435496
Logistic_regression,4,7_close_sma_std,-0.03934830424714638
Logistic_regression,4,7_close_sma_pct_diff_std,0.07694086779358847
Logistic_regression,4,7_close_std_std,-0.060427025009949814
Logistic_regression,4,bol_pct_from_bottom_std,-0.24501517756001537
Logistic_regression,4,bol_pct_from_top_std,0.22382334466199513
Logistic_regression,4,bol_range_std,-0.37506854999437367
Logistic_regression,4,bol_range_pct_std,0.5077476363371425
Logistic_regression,4,lower_bollinger_band_std,-2.220488647311639
Logistic_regression,4,upper_bollinger_band_std,2.2138701602464264
Logistic_regression,4,ind_AAPL,0.4024776839157865
Logistic_regression,4,ind_XLE,-0.3342461351050848
Logistic_regression,4,ind_XLF,0.044005899316380714
Random_forest,0,above_7_close_sma_ind,0.001453023934864259
Random_forest,0,above_14_close_sma_ind,0.0017789499476237875
Random_forest,0,above_21_close_sma_ind,0.002484865614687157
Random_forest,0,cum_days_above_above_7_close_sma_ind,0.011237462601146013
Random_forest,0,cum_days_above_above_14_close_sma_ind,0.022597044480861795
Random_forest,0,cum_days_above_above_21_close_sma_ind,0.029526028821898264
Random_forest,0,14_close_sma_std,0.08136533163447496
Random_forest,0,14_close_sma_pct_diff_std,0.03143347482274532
Random_forest,0,14_close_std_std,0.05152736203636108
Random_forest,0,21_close_sma_std,0.0811736696004218
Random_forest,0,21_close_sma_pct_diff_std,0.03643141978533464
Random_forest,0,21_close_std_std,0.05567793733424345
Random_forest,0,7_close_sma_std,0.08129846655136952
Random_forest,0,7_close_sma_pct_diff_std,0.029385093591246705
Random_forest,0,7_close_std_std,0.05100438903404817
Random_forest,0,bol_pct_from_bottom_std,0.04120430522697223
Random_forest,0,bol_pct_from_top_std,0.04019925799307677
Random_forest,0,bol_range_std,0.05258768444531445
Random_forest,0,bol_range_pct_std,0.05833325648151297
Random_forest,0,lower_bollinger_band_std,0.07847187155031707
Random_forest,0,upper_bollinger_band_std,0.10632331782404097
Random_forest,0,ind_AAPL,0.019451726782670327
Random_forest,0,ind_XLE,0.026893510410112315
Random_forest,0,ind_XLF,0.008160549494656028
Random_forest,1,above_7_close_sma_ind,0.0021806612195657766
Random_forest,1,above_14_close_sma_ind,0.0029615931295924863
Random_forest,1,above_21_close_sma_ind,0.0034769555159451194
Random_forest,1,cum_days_above_above_7_close_sma_ind,0.011590591109070592
Random_forest,1,cum_days_above_above_14_close_sma_ind,0.023657668362748602
Random_forest,1,cum_days_above_above_21_close_sma_ind,0.028302568218202775
Random_forest,1,14_close_sma_std,0.07227028769405215
Random_forest,1,14_close_sma_pct_diff_std,0.0320474110507888
Random_forest,1,14_close_std_std,0.050532114048648345
Random_forest,1,21_close_sma_std,0.08029229948364407
Random_forest,1,21_close_sma_pct_diff_std,0.03771204203996465
Random_forest,1,21_close_std_std,0.055864823223806155
Random_forest,1,7_close_sma_std,0.0811950235815366
Random_forest,1,7_close_sma_pct_diff_std,0.028684656736135322
Random_forest,1,7_close_std_std,0.05896513730095597
Random_forest,1,bol_pct_from_bottom_std,0.046008562984365266
Random_forest,1,bol_pct_from_top_std,0.040319227372586815
Random_forest,1,bol_range_std,0.051320471581735666
Random_forest,1,bol_range_pct_std,0.058641914562814985
Random_forest,1,lower_bollinger_band_std,0.07796097836962504
Random_forest,1,upper_bollinger_band_std,0.10595328716482647
Random_forest,1,ind_AAPL,0.012719316829034669
Random_forest,1,ind_XLE,0.02884276180464313
Random_forest,1,ind_XLF,0.008499646615710602
Random_forest,2,above_7_close_sma_ind,0.0027235468473673506
Random_forest,2,above_14_close_sma_ind,0.0024559124962063024
Random_forest,2,above_21_close_sma_ind,0.0030319652961916937
Random_forest,2,cum_days_above_above_7_close_sma_ind,0.011838221026230382
Random_forest,2,cum_days_above_above_14_close_sma_ind,0.01840703079408039
Random_forest,2,cum_days_above_above_21_close_sma_ind,0.033615337987425956
Random_forest,2,14_close_sma_std,0.06981715783569915
Random_forest,2,14_close_sma_pct_diff_std,0.03043263730352792
Random_forest,2,14_close_std_std,0.05124311741175451
Random_forest,2,21_close_sma_std,0.08292953214931036
Random_forest,2,21_close_sma_pct_diff_std,0.035824817962827285
Random_forest,2,21_close_std_std,0.057181468395251706
Random_forest,2,7_close_sma_std,0.07218755360462027
Random_forest,2,7_close_sma_pct_diff_std,0.02971937891785738
Random_forest,2,7_close_std_std,0.04750330990281234
Random_forest,2,bol_pct_from_bottom_std,0.04649262640176424
Random_forest,2,bol_pct_from_top_std,0.04845731422391787
Random_forest,2,bol_range_std,0.05450027569645099
Random_forest,2,bol_range_pct_std,0.05911282892268528
Random_forest,2,lower_bollinger_band_std,0.08077234518690934
Random_forest,2,upper_bollinger_band_std,0.10426421847300948
Random_forest,2,ind_AAPL,0.016169242499465542
Random_forest,2,ind_XLE,0.031208868139320455
Random_forest,2,ind_XLF,0.010111292525313755
Random_forest,3,above_7_close_sma_ind,0.001691563767150317
Random_forest,3,above_14_close_sma_ind,0.0020228616041631704
Random_forest,3,above_21_close_sma_ind,0.0028405237188378007
